Attr,Top 3 Highest,Top 3 Lowest
per90_G+A-PK,"Top 1: George Earthy(Team: West Ham)
Top 2: Alejo Véliz(Team: Tottenham)
Top 3: Sergio Gómez(Team: Manchester City)","Top 1 from bottom: Tyler Adams(Team: Bournemouth)
Top 2 from bottom: : Tayo Adaramola(Team: Crystal Palace)
Top 3 from bottom: : Val Adedokun(Team: Brentford)"
per90_xG,"Top 1: Deivid Washington(Team: Chelsea)
Top 2: Kieffer Moore(Team: Bournemouth)
Top 3: Neal Maupay(Team: Everton)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tayo Adaramola(Team: Crystal Palace)"
per90_xAG,"Top 1: Donny van de Beek(Team: Manchester Utd)
Top 2: Kevin De Bruyne(Team: Manchester City)
Top 3: Ivan Perišić(Team: Tottenham)","Top 1 from bottom: Tayo Adaramola(Team: Crystal Palace)
Top 2 from bottom: : Val Adedokun(Team: Brentford)
Top 3 from bottom: : Adrián(Team: Liverpool)"
per90_xG+xAG,"Top 1: Donny van de Beek(Team: Manchester Utd)
Top 2: Deivid Washington(Team: Chelsea)
Top 3: Kieffer Moore(Team: Bournemouth)","Top 1 from bottom: Tayo Adaramola(Team: Crystal Palace)
Top 2 from bottom: : Val Adedokun(Team: Brentford)
Top 3 from bottom: : Adrián(Team: Liverpool)"
per90_npxG,"Top 1: Deivid Washington(Team: Chelsea)
Top 2: Kieffer Moore(Team: Bournemouth)
Top 3: Neal Maupay(Team: Everton)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tayo Adaramola(Team: Crystal Palace)"
per90_npxG+xAG,"Top 1: Donny van de Beek(Team: Manchester Utd)
Top 2: Deivid Washington(Team: Chelsea)
Top 3: Kieffer Moore(Team: Bournemouth)","Top 1 from bottom: Tayo Adaramola(Team: Crystal Palace)
Top 2 from bottom: : Val Adedokun(Team: Brentford)
Top 3 from bottom: : Adrián(Team: Liverpool)"
GA,"Top 1: Thomas Kaminski(Team: Luton Town)
Top 2: Wes Foderingham(Team: Sheffield Utd)
Top 3: Mark Flekken(Team: Brentford)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
GA90,"Top 1: Remi Matthews(Team: Crystal Palace)
Top 2: Loris Karius(Team: Newcastle Utd)
Top 3: Ionuț Radu(Team: Bournemouth)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
SoTA,"Top 1: Thomas Kaminski(Team: Luton Town)
Top 2: Wes Foderingham(Team: Sheffield Utd)
Top 3: André Onana(Team: Manchester Utd)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
Saves,"Top 1: André Onana(Team: Manchester Utd)
Top 2: Thomas Kaminski(Team: Luton Town)
Top 3: Alphonse Areola(Team: West Ham)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
