 , ,Median of matches_played,Mean of matches_played,Std of matches_played,Median of starts,Mean of starts,Std of starts,Median of minutes,Mean of minutes,Std of minutes,Median of non_penalty_goals,Mean of non_penalty_goals,Std of non_penalty_goals,Median of penalty_goals,Mean of penalty_goals,Std of penalty_goals,Median of assists,Mean of assists,Std of assists,Median of yellow_cards,Mean of yellow_cards,Std of yellow_cards,Median of red_cards,Mean of red_cards,Std of red_cards,Median of xG,Mean of xG,Std of xG,Median of npxG,Mean of npxG,Std of npxG,Median of xAG,Mean of xAG,Std of xAG,Median of PrgC,Mean of PrgC,Std of PrgC,Median of PrgP,Mean of PrgP,Std of PrgP,Median of PrgR,Mean of PrgR,Std of PrgR,Median of per90_Gls,Mean of per90_Gls,Std of per90_Gls,Median of per90_Ast,Mean of per90_Ast,Std of per90_Ast,Median of per90_G+A,Mean of per90_G+A,Std of per90_G+A,Median of per90_G-PK,Mean of per90_G-PK,Std of per90_G-PK,Median of per90_G+A-PK,Mean of per90_G+A-PK,Std of per90_G+A-PK,Median of per90_xG,Mean of per90_xG,Std of per90_xG,Median of per90_xAG,Mean of per90_xAG,Std of per90_xAG,Median of per90_xG+xAG,Mean of per90_xG+xAG,Std of per90_xG+xAG,Median of per90_npxG,Mean of per90_npxG,Std of per90_npxG,Median of per90_npxG+xAG,Mean of per90_npxG+xAG,Std of per90_npxG+xAG,Median of GA,Mean of GA,Std of GA,Median of GA90,Mean of GA90,Std of GA90,Median of SoTA,Mean of SoTA,Std of SoTA,Median of Saves,Mean of Saves,Std of Saves,Median of Save%,Mean of Save%,Std of Save%,Median of W,Mean of W,Std of W,Median of D,Mean of D,Std of D,Median of L,Mean of L,Std of L,Median of CS,Mean of CS,Std of CS,Median of CS%,Mean of CS%,Std of CS%,Median of PKatt,Mean of PKatt,Std of PKatt,Median of PKA,Mean of PKA,Std of PKA,Median of PKsv,Mean of PKsv,Std of PKsv,Median of PKm,Mean of PKm,Std of PKm,Median of GK_Save%,Mean of GK_Save%,Std of GK_Save%,Median of Gls,Mean of Gls,Std of Gls,Median of Sh,Mean of Sh,Std of Sh,Median of SoT,Mean of SoT,Std of SoT,Median of SoT%,Mean of SoT%,Std of SoT%,Median of Sh/90,Mean of Sh/90,Std of Sh/90,Median of SoT/90,Mean of SoT/90,Std of SoT/90,Median of G/Sh,Mean of G/Sh,Std of G/Sh,Median of G/SoT,Mean of G/SoT,Std of G/SoT,Median of Dist,Mean of Dist,Std of Dist,Median of FK,Mean of FK,Std of FK,Median of PK,Mean of PK,Std of PK,Median of PKatt,Mean of PKatt,Std of PKatt,Median of xG,Mean of xG,Std of xG,Median of npxG,Mean of npxG,Std of npxG,Median of npxG/Sh,Mean of npxG/Sh,Std of npxG/Sh,Median of G-xG,Mean of G-xG,Std of G-xG,Median of np:G-xG,Mean of np:G-xG,Std of np:G-xG,Median of Pass_Cmp,Mean of Pass_Cmp,Std of Pass_Cmp,Median of Pass_Att,Mean of Pass_Att,Std of Pass_Att,Median of Pass_Cmp%,Mean of Pass_Cmp%,Std of Pass_Cmp%,Median of TotDist,Mean of TotDist,Std of TotDist,Median of PrgDist,Mean of PrgDist,Std of PrgDist,Median of Short_Cmp,Mean of Short_Cmp,Std of Short_Cmp,Median of Short_Att,Mean of Short_Att,Std of Short_Att,Median of Short_Cmp%,Mean of Short_Cmp%,Std of Short_Cmp%,Median of Medium_Cmp,Mean of Medium_Cmp,Std of Medium_Cmp,Median of Medium_Att,Mean of Medium_Att,Std of Medium_Att,Median of Medium_Cmp%,Mean of Medium_Cmp%,Std of Medium_Cmp%,Median of Long_Cmp,Mean of Long_Cmp,Std of Long_Cmp,Median of Long_Att,Mean of Long_Att,Std of Long_Att,Median of Long_Cmp%,Mean of Long_Cmp%,Std of Long_Cmp%,Median of Ast,Mean of Ast,Std of Ast,Median of xAG,Mean of xAG,Std of xAG,Median of xA,Mean of xA,Std of xA,Median of A-xAG,Mean of A-xAG,Std of A-xAG,Median of KP,Mean of KP,Std of KP,Median of 1/3,Mean of 1/3,Std of 1/3,Median of PPA,Mean of PPA,Std of PPA,Median of CrsPA,Mean of CrsPA,Std of CrsPA,Median of PrgP,Mean of PrgP,Std of PrgP,Median of Pass_Live,Mean of Pass_Live,Std of Pass_Live,Median of Pass_Dead,Mean of Pass_Dead,Std of Pass_Dead,Median of Pass_FK,Mean of Pass_FK,Std of Pass_FK,Median of Pass_TB,Mean of Pass_TB,Std of Pass_TB,Median of Pass_Sw,Mean of Pass_Sw,Std of Pass_Sw,Median of Pass_Crs,Mean of Pass_Crs,Std of Pass_Crs,Median of Pass_TI,Mean of Pass_TI,Std of Pass_TI,Median of Pass_CK,Mean of Pass_CK,Std of Pass_CK,Median of Pass_Corner_In,Mean of Pass_Corner_In,Std of Pass_Corner_In,Median of Pass_Corner_Out,Mean of Pass_Corner_Out,Std of Pass_Corner_Out,Median of Pass_Corner_Str,Mean of Pass_Corner_Str,Std of Pass_Corner_Str,Median of Pass_Cmp_outcome,Mean of Pass_Cmp_outcome,Std of Pass_Cmp_outcome,Median of Pass_Off,Mean of Pass_Off,Std of Pass_Off,Median of Pass_Blocks,Mean of Pass_Blocks,Std of Pass_Blocks,Median of SCA,Mean of SCA,Std of SCA,Median of SCA90,Mean of SCA90,Std of SCA90,Median of SCA PassLive,Mean of SCA PassLive,Std of SCA PassLive,Median of SCA PassDead,Mean of SCA PassDead,Std of SCA PassDead,Median of SCA TO,Mean of SCA TO,Std of SCA TO,Median of SCA Sh,Mean of SCA Sh,Std of SCA Sh,Median of SCA Fld,Mean of SCA Fld,Std of SCA Fld,Median of SCA Def,Mean of SCA Def,Std of SCA Def,Median of GCA,Mean of GCA,Std of GCA,Median of GCA90,Mean of GCA90,Std of GCA90,Median of GCA PassLive,Mean of GCA PassLive,Std of GCA PassLive,Median of GCA PassDead,Mean of GCA PassDead,Std of GCA PassDead,Median of GCA TO,Mean of GCA TO,Std of GCA TO,Median of GCA Sh,Mean of GCA Sh,Std of GCA Sh,Median of GCA Fld,Mean of GCA Fld,Std of GCA Fld,Median of GCA Def,Mean of GCA Def,Std of GCA Def,Median of Tkl,Mean of Tkl,Std of Tkl,Median of TklW,Mean of TklW,Std of TklW,Median of Def_3rd,Mean of Def_3rd,Std of Def_3rd,Median of Mid_3rd,Mean of Mid_3rd,Std of Mid_3rd,Median of Att_3rd,Mean of Att_3rd,Std of Att_3rd,Median of Challenges_Tkl,Mean of Challenges_Tkl,Std of Challenges_Tkl,Median of Challenges_Att,Mean of Challenges_Att,Std of Challenges_Att,Median of Challenges_Tkl%,Mean of Challenges_Tkl%,Std of Challenges_Tkl%,Median of Challenges_Lost,Mean of Challenges_Lost,Std of Challenges_Lost,Median of Blocks,Mean of Blocks,Std of Blocks,Median of Blocks_Sh,Mean of Blocks_Sh,Std of Blocks_Sh,Median of Blocks_Pass,Mean of Blocks_Pass,Std of Blocks_Pass,Median of Blocks_Int,Mean of Blocks_Int,Std of Blocks_Int,Median of Blocks_Tkl+Int,Mean of Blocks_Tkl+Int,Std of Blocks_Tkl+Int,Median of Blocks_Clr,Mean of Blocks_Clr,Std of Blocks_Clr,Median of Blocks_Err,Mean of Blocks_Err,Std of Blocks_Err,Median of Touches,Mean of Touches,Std of Touches,Median of Def_Pen,Mean of Def_Pen,Std of Def_Pen,Median of Def_3rd,Mean of Def_3rd,Std of Def_3rd,Median of Mid_3rd,Mean of Mid_3rd,Std of Mid_3rd,Median of Att_3rd,Mean of Att_3rd,Std of Att_3rd,Median of Att_Pen,Mean of Att_Pen,Std of Att_Pen,Median of Live,Mean of Live,Std of Live,Median of Take_Att,Mean of Take_Att,Std of Take_Att,Median of Take_Succ,Mean of Take_Succ,Std of Take_Succ,Median of Take_Succ%,Mean of Take_Succ%,Std of Take_Succ%,Median of Take_Tkld,Mean of Take_Tkld,Std of Take_Tkld,Median of Take_Tkld%,Mean of Take_Tkld%,Std of Take_Tkld%,Median of Carries,Mean of Carries,Std of Carries,Median of Carries_TotDist,Mean of Carries_TotDist,Std of Carries_TotDist,Median of Carries_ProDist,Mean of Carries_ProDist,Std of Carries_ProDist,Median of Carries_ProgC,Mean of Carries_ProgC,Std of Carries_ProgC,Median of Carries_1/3,Mean of Carries_1/3,Std of Carries_1/3,Median of Carries_CPA,Mean of Carries_CPA,Std of Carries_CPA,Median of Carries_Mis,Mean of Carries_Mis,Std of Carries_Mis,Median of Carries_Dis,Mean of Carries_Dis,Std of Carries_Dis,Median of Receiving_Rec,Mean of Receiving_Rec,Std of Receiving_Rec,Median of Receiving_PrgR,Mean of Receiving_PrgR,Std of Receiving_PrgR,Median of Starts,Mean of Starts,Std of Starts,Median of Mn/Start,Mean of Mn/Start,Std of Mn/Start,Median of Compl,Mean of Compl,Std of Compl,Median of Subs,Mean of Subs,Std of Subs,Median of Mn/Sub,Mean of Mn/Sub,Std of Mn/Sub,Median of unSub,Mean of unSub,Std of unSub,Median of PPM,Mean of PPM,Std of PPM,Median of onG,Mean of onG,Std of onG,Median of onGA,Mean of onGA,Std of onGA,Median of onxG,Mean of onxG,Std of onxG,Median of onxGA,Mean of onxGA,Std of onxGA,Median of Fls,Mean of Fls,Std of Fls,Median of Fld,Mean of Fld,Std of Fld,Median of Off,Mean of Off,Std of Off,Median of Crs,Mean of Crs,Std of Crs,Median of OG,Mean of OG,Std of OG,Median of Recov,Mean of Recov,Std of Recov,Median of Aerial_Won,Mean of Aerial_Won,Std of Aerial_Won,Median of Aerial_Lost,Mean of Aerial_Lost,Std of Aerial_Lost,Median of Aerial_Won%,Mean of Aerial_Won%,Std of Aerial_Won%
0,All,20.0,19.627586206896552,11.832419285578206,13.0,14.413793103448276,11.926421637825795,672.0,1006.5134048257372,1051.8636451593852,1.0,1.8982758620689655,3.18973912876999,0.0,0.16551724137931034,0.779830308838436,0.0,1.4810344827586206,2.3607291470835996,2.0,2.85,2.8551532055720634,0.0,0.1,0.3170459504788319,0.8,2.0760344827586206,3.4022538702707967,0.75,1.9296551724137931,2.977987732417506,0.7,1.4937931034482759,2.1153512654209843,13.0,24.651724137931033,31.42300534202848,35.0,50.58448275862069,57.02756447020903,21.0,50.06206896551724,68.75718540585258,0.03,0.12525862068965518,0.22316092076723404,0.0,0.09162068965517242,0.16070266986939108,0.1,0.2168103448275862,0.29708485537260804,0.03,0.1181551724137931,0.21434209108618044,0.1,0.20963793103448275,0.2870354216360371,0.07,0.14498275862068966,0.2222249705277416,0.06,0.10070689655172414,0.21071311674629026,0.14500000000000002,0.2458448275862069,0.34800364785395477,0.07,0.13843103448275862,0.2139474869849693,0.14500000000000002,0.23946551724137932,0.34063116847507113,27.0,31.15,23.052392945480097,1.645,2.24525,3.3701388448153486,78.0,91.3,67.84794462431113,52.0,61.175,46.42495322616149,67.6,65.44,14.885525580068437,5.0,7.45,6.717562134110932,4.0,4.1,3.1525325594609708,6.0,7.45,6.598173795520806,2.5,3.925,3.89205304731024,19.5,19.61578947368421,14.739825190862458,2.0,2.675,2.6446608041922444,1.5,2.4,2.560048076471642,0.0,0.2,0.4640954808922571,0.0,0.075,0.2667467828369185,0.0,9.720689655172414,21.93689617500852,1.0,2.0637931034482757,3.6212383627828926,9.0,17.9,22.52322539537151,3.0,6.117241379310345,8.75240185008864,31.7,31.024516129032257,19.94317576849376,0.895,1.354551724137931,1.994869578349846,0.215,0.42579310344827587,0.6108262406981321,0.07,0.09219354838709677,0.11907295087760603,0.26,0.2941293532338308,0.2617462234119216,16.3,16.532043010752687,4.834282334307882,0.0,0.4879310344827586,1.6834639822970676,0.0,0.16551724137931034,0.779830308838436,0.0,0.18448275862068966,0.85902738995741,0.8,2.0760344827586206,3.4022538702707967,0.75,1.9296551724137931,2.977987732417506,0.09,0.10139784946236559,0.07269728505237255,0.0,-0.012241379310344832,1.2773995917919956,0.0,-0.03137931034482759,1.256491879025983,394.0,541.5086206896551,553.5479393594368,503.5,670.7896551724137,646.1636760650174,78.85,78.10578947368421,10.964894524870772,6018.0,9199.26551724138,9775.9664924764,1730.0,3251.863793103448,4063.510306043578,196.5,260.3965517241379,265.50761104951744,231.0,291.3724137931035,287.10458445587346,88.7,87.68645276292335,9.798886328940489,135.5,220.91551724137932,251.71780420535103,165.5,254.8448275862069,274.3473902927077,84.85,83.14856115107914,11.468472164235278,23.0,46.139655172413796,61.79887831383409,41.5,88.82241379310345,127.45164485618442,53.1,54.3527724665392,17.62159852669073,0.0,1.4810344827586206,2.3607291470835996,0.7,1.4937931034482759,2.1153512654209843,0.6,1.3217241379310345,1.826161009961633,0.0,-0.012758620689655177,1.0447546308580322,7.0,13.587931034482759,17.94573067885504,23.0,40.360344827586204,49.26870541443343,6.0,11.686206896551724,15.67540396799659,0.0,2.4362068965517243,4.166367448013852,35.0,50.58448275862069,57.02756447020903,445.0,608.8534482758621,593.7691010189706,25.5,59.43793103448276,84.06573591101913,5.0,16.103448275862068,26.16282855045886,1.0,2.2913793103448277,4.291163933507367,1.0,3.463793103448276,5.664518487749204,6.0,22.686206896551724,40.121466903462256,3.0,23.23448275862069,51.384327065293654,0.0,7.086206896551724,21.46450215121718,0.0,3.462068965517241,10.938528625580538,0.0,2.070689655172414,8.177447157310215,0.0,0.1706896551724138,0.8598727906659726,394.0,541.5086206896551,553.5479393594368,2.0,2.4982758620689656,3.054201861108292,9.0,12.579310344827586,13.262550788199254,19.0,31.81896551724138,37.1143495421,1.97,2.352051724137931,4.274028378600814,14.0,23.294827586206896,26.663857294245204,0.0,2.646551724137931,7.135566503956111,0.0,1.856896551724138,3.2429337060900845,1.0,2.0689655172413794,2.8507010255941547,0.0,1.3275862068965518,2.1569498953225703,0.0,0.6241379310344828,1.069325864634522,2.0,3.5637931034482757,4.807277092976545,0.14,0.23093103448275862,0.3548798654432626,1.0,2.5068965517241377,3.4257413286419176,0.0,0.22413793103448276,0.744423214455485,0.0,0.25862068965517243,0.689430312934749,0.0,0.2810344827586207,0.676768940742931,0.0,0.22413793103448276,0.5948281256605864,0.0,0.06896551724137931,0.27328166023532485,17.0,23.137931034482758,23.920888809699626,10.0,13.575862068965517,14.261659295227032,7.0,11.21896551724138,12.96622365031948,6.0,8.648275862068965,9.506133669010504,2.0,3.2706896551724136,3.940512254676258,7.0,10.74655172413793,11.997534512372045,16.0,21.936206896551724,22.833051811301285,48.0,46.83616600790514,21.785759185559698,8.0,11.189655172413794,12.12692930583256,13.0,16.04310344827586,15.561784066741334,2.0,5.106896551724138,7.620916179106623,8.0,10.936206896551724,10.912166179742771,6.0,10.875862068965517,12.53327605834524,24.0,34.01379310344828,35.02399596011447,13.5,26.867241379310343,35.079844224111405,0.0,0.5672413793103448,1.0384470821020424,666.0,818.9931034482759,740.3097750212941,27.0,91.19137931034483,189.0792057301516,134.0,268.66896551724136,339.4488228775977,256.5,350.03275862068966,369.27351629976215,124.5,207.90862068965518,236.52143792715808,17.0,34.34827586206897,45.88906139344579,665.5,818.8086206896552,740.1816746564526,12.0,24.548275862068966,31.888613575674484,6.0,11.189655172413794,14.947411437743284,46.05,46.43340163934426,21.2561731849054,5.0,10.74655172413793,14.397619208260066,42.9,42.50553278688525,21.04721860018209,361.5,468.73275862068965,444.99647701461254,1882.5,2477.746551724138,2334.145549634658,907.5,1273.6155172413794,1272.2350854744445,13.0,24.651724137931033,31.42300534202848,11.0,17.386206896551723,19.72485564762932,2.0,7.85,15.103440114143527,11.0,18.606896551724137,20.733708147950995,6.0,12.391379310344828,15.648787627975464,420.0,536.2344827586207,517.3403621185322,21.0,50.06206896551724,68.75718540585258,7.0,11.206434316353887,12.105254786386402,82.0,79.69574036511156,9.660114234411703,2.0,7.116621983914209,9.754218078280648,2.0,4.053619302949062,4.915098670093451,19.0,19.389898989898988,11.137687188133247,3.0,5.081769436997319,6.498942822066329,1.3050000000000002,1.3616494845360825,0.7348869929574058,20.0,23.52920962199313,21.14538655413916,22.0,23.457044673539517,19.38816405791758,19.2,22.307241379310344,19.128922191929224,20.4,22.231896551724137,18.14252344682627,10.0,14.493103448275862,13.86494021655426,9.0,13.98448275862069,15.561947098186295,1.0,2.4982758620689656,4.403836895893622,6.0,22.686206896551724,40.121466903462256,0.0,0.08448275862068966,0.3078151454659347,49.5,63.26379310344828,57.678739833368496,9.0,17.5,23.097936714858157,12.0,17.5,20.575275670374797,46.6,47.19566037735849,23.690780513126015
1,Arsenal,27.0,22.88,13.080902109564157,11.0,16.72,14.025334220616633,854.5,1174.625,1229.1219197249666,1.0,3.04,3.878143885933063,0.0,0.4,1.2583057392117916,1.0,2.48,3.0702877172451877,2.0,2.56,2.7092434368288134,0.0,0.08,0.27688746209726917,1.3,3.124,4.15053008662749,1.2,2.812,3.5169020458352263,0.8,2.2359999999999998,2.9734772013026545,15.0,32.84,41.48963726040516,65.0,84.24,93.12951555047769,26.0,83.52,124.41835341567042,0.1,0.15360000000000001,0.185469674070992,0.1,0.1364,0.1510485573140858,0.23,0.29,0.2870104527713233,0.05,0.1308,0.1712921480979207,0.23,0.2676,0.24992132095254832,0.09,0.1768,0.17911169699380328,0.11,0.1228,0.12323825163749552,0.16,0.2996,0.2636993237255897,0.09,0.158,0.16294170736800323,0.16,0.2812,0.23188215397769044,14.5,14.5,13.435028842544403,0.79,0.79,0.056568542494923775,41.5,41.5,38.890872965260115,27.0,27.0,25.45584412271571,66.19999999999999,66.19999999999999,2.6870057685088784,14.0,14.0,12.727922061357855,2.5,2.5,2.1213203435596424,2.5,2.5,3.5355339059327378,9.0,9.0,9.899494936611665,41.65,41.65,11.808683245815345,1.5,1.5,2.1213203435596424,1.0,1.0,1.4142135623730951,0.5,0.5,0.7071067811865476,0.0,0.0,0.0,33.3,33.3,N/a,1.0,3.44,4.592385001282014,13.0,25.88,29.51739600077667,3.0,8.36,9.940992572843687,31.95,29.845,11.073651753504565,1.33,1.6280000000000001,1.5935521118976101,0.3,0.5516,0.7024877223126395,0.1,0.0985,0.086101225616315,0.33,0.32210526315789473,0.23686796480009284,15.850000000000001,16.73,4.858968918131543,0.0,0.24,0.8793937305515279,0.0,0.4,1.2583057392117916,0.0,0.4,1.2583057392117916,1.3,3.124,4.15053008662749,1.2,2.812,3.5169020458352263,0.1,0.0965,0.04416178390752277,0.0,0.316,1.4161803086707097,0.0,0.22799999999999998,1.43222437720724,570.0,763.76,743.8668272390339,673.0,902.32,839.4629096432234,84.0,83.744,6.57229538796505,8941.0,12381.32,12294.721678156578,2420.0,4088.4,4619.634049359322,271.0,388.76,359.9717905614272,315.0,425.72,388.51903857254325,91.4,91.048,5.299616338314816,214.0,312.36,346.0483925695942,245.0,350.6,373.29657557139916,88.2,88.496,7.155154319323473,32.0,47.12,49.97359302671762,58.0,86.48,100.90635923138508,54.3,55.66086956521739,12.690753223954216,1.0,2.48,3.0702877172451877,0.8,2.2359999999999998,2.9734772013026545,0.8,2.304,3.1185573587798574,0.0,0.24400000000000002,1.1779501970230604,6.0,20.52,27.915228818693212,30.0,61.84,69.65969662102566,10.0,21.92,29.311431217188968,1.0,2.72,3.7916575091464506,65.0,84.24,93.12951555047769,615.0,837.64,792.3345190006554,35.0,61.2,65.58328038964403,6.0,17.72,21.892768973643634,2.0,4.16,7.813876545394525,2.0,2.6,3.7859388972001824,9.0,26.8,43.147035433117146,6.0,22.4,47.55698336382015,0.0,10.6,25.92296279363144,0.0,8.68,21.613498868376986,0.0,0.04,0.2,0.0,0.0,0.0,570.0,763.76,743.8668272390339,2.0,3.48,3.980368492154129,10.0,12.76,13.537848179579107,25.0,47.4,58.18218513141859,2.86,2.7008,1.8756263842602912,20.0,37.04,45.28656901702019,1.0,3.28,6.560741827974435,0.0,2.32,3.727376199598497,1.0,2.64,3.225936556516056,0.0,1.32,1.9519221295943134,0.0,0.8,1.35400640077266,4.0,6.08,6.927722088344288,0.33,0.3436,0.35214674971286236,3.0,4.16,5.201602317235206,0.0,0.64,1.1135528725660044,0.0,0.32,0.627162924074226,0.0,0.44,0.7118052168020874,0.0,0.52,0.9626352718795768,0.0,0.0,0.0,20.0,24.4,23.101226518664905,11.0,13.92,13.388178865451914,8.0,10.28,10.151026220699725,6.0,9.84,10.522515542080864,2.0,4.28,4.928826770473206,9.0,10.84,10.522515542080864,18.0,21.72,20.98118204487059,50.0,53.547619047619044,24.91219819782307,5.0,10.88,12.09448910316871,11.0,16.48,15.486876164460453,1.0,4.24,8.13572369245662,11.0,12.24,11.450181949063808,8.0,11.68,12.150857308574293,35.0,36.08,34.22464998603589,8.0,20.6,27.935938621543876,0.0,0.72,1.2083045973594573,824.0,1059.72,943.2133692860805,24.0,78.96,162.45114137282425,143.0,268.56,359.2564172472544,318.0,456.28,483.599913840632,207.0,342.4,368.3084079047522,20.0,59.2,75.95228765481656,824.0,1059.32,942.8946441676292,12.0,26.84,35.65071294284777,4.0,11.32,14.622243329940861,40.9,43.695238095238096,20.990199527171633,5.0,12.16,16.905817539139203,43.5,41.74285714285714,20.199271556879754,489.0,651.88,585.8152666725806,2227.0,3246.84,3009.037590880734,1129.0,1660.4,1573.3368997134721,15.0,32.84,41.48963726040516,14.0,23.0,24.090108620206205,3.0,13.08,21.847806907483108,11.0,21.0,21.43011899173684,5.0,15.0,18.09926333675858,567.0,756.68,687.204404332025,26.0,83.52,124.41835341567042,9.5,13.0625,14.198903865008099,79.5,79.5,9.777281733449133,3.0,8.21875,11.716364004411563,2.0,4.8125,5.607814248453785,17.0,16.6,5.576265492433557,2.5,5.875,7.508060185023525,2.36,2.4676,0.2726456797139223,30.0,40.04,31.891064579283018,10.0,12.76,10.505078137104295,24.8,33.5,26.71362012157843,11.4,12.252,9.780470336338636,10.0,15.64,14.067930432962294,10.0,15.76,16.914687897406402,1.0,3.48,5.0424861592935155,9.0,26.8,43.147035433117146,0.0,0.04,0.2,54.0,70.08,62.860904649339346,7.0,20.12,26.980425002829985,10.0,19.96,24.228908353452493,50.0,49.025,24.20084888917167
